# {"title": "GCP-0.3", "labels": ["precision", "recall"], "ylim": [0.0,1.0], "xlim": [0.0,0.2], "style": "x"}
0.1316	0.5578
0.1341	0.6003
0.1354	0.6277
0.1342	0.6369
0.1334	0.6464
0.1317	0.6467
0.1306	0.6504
0.1305	0.6593
0.1316	0.5578
0.1341	0.6003
0.1354	0.6277
0.1342	0.6369
0.1334	0.6464
0.1317	0.6467
0.1306	0.6504
0.1305	0.6593
0.1318	0.5589
0.1343	0.6012
0.1356	0.6289
0.1345	0.6387
0.1337	0.6484
0.1322	0.65
0.1313	0.6552
0.1313	0.6649
0.1339	0.5705
0.1378	0.623
0.1409	0.663
0.1408	0.6805
0.1407	0.6964
0.1399	0.7031
0.1387	0.7084
0.1382	0.7173
0.1388	0.6009
0.1425	0.659
0.1441	0.697
0.1441	0.7188
0.1436	0.7362
0.1428	0.7482
0.1416	0.756
0.1415	0.7707
0.1411	0.6259
0.1453	0.7001
0.1472	0.7468
0.147	0.7724
0.146	0.791
0.145	0.8064
0.1439	0.8191
0.1439	0.8369
0.1438	0.659
0.1469	0.7378
0.1472	0.783
0.1466	0.8118
0.1459	0.8377
0.1442	0.8519
0.1424	0.8631
0.1413	0.8758
0.1424	0.6765
0.1448	0.762
0.1443	0.8077
0.1432	0.8379
0.1418	0.8603
0.1398	0.8769
0.1377	0.8871
0.1361	0.8978
0.1418	0.7003
0.1417	0.7847
0.1412	0.8372
0.1394	0.8692
0.1378	0.8929
0.1358	0.9112
0.1337	0.9217
0.1315	0.9309
0.1289	0.6598
0.1292	0.6674
0.1284	0.6745
0.1277	0.6768
0.1283	0.6862
0.1281	0.6915
0.1285	0.6975
0.1278	0.7018
0.1289	0.6598
0.1292	0.6674
0.1295	0.6751
0.1284	0.6745
0.1277	0.6768
0.1283	0.6862
0.1281	0.6915
0.1285	0.6975
0.1278	0.7018
0.1298	0.6663
0.1303	0.6753
0.1306	0.6833
0.1297	0.6837
0.1291	0.6872
0.1297	0.6964
0.1294	0.7018
0.1299	0.7086
0.1293	0.7134
0.1366	0.7194
0.1366	0.7265
0.1361	0.7309
0.1353	0.7328
0.1339	0.7317
0.1343	0.7417
0.1336	0.7447
0.1334	0.7484
0.1326	0.7533
0.1404	0.7782
0.1404	0.7875
0.14	0.795
0.1391	0.7998
0.1374	0.7991
0.1376	0.8086
0.1368	0.8138
0.1369	0.8214
0.1354	0.8232
0.1428	0.8462
0.1429	0.858
0.1424	0.8673
0.1412	0.8712
0.1399	0.8747
0.1396	0.8828
0.1387	0.8868
0.1385	0.894
0.1369	0.8968
0.1395	0.8832
0.1389	0.8912
0.1381	0.8988
0.1369	0.9029
0.1354	0.9044
0.1349	0.9121
0.1333	0.9122
0.1328	0.9172
0.131	0.9169
0.1344	0.9048
0.1336	0.9129
0.1326	0.9205
0.1314	0.9252
0.1298	0.9277
0.1293	0.9353
0.128	0.9359
0.1272	0.9403
0.1254	0.941
0.1296	0.9377
0.1287	0.9468
0.1275	0.9539
0.1261	0.9576
0.1244	0.9597
0.1238	0.966
0.1229	0.9706
0.122	0.9754
0.1203	0.975
