# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t2_mr-m2-r18.txt,0.3,170200,8174,102768,55784,3474,unknown,0.2162,0.1278,0.7018
data/deid_t2_mr-m3-r10.txt,0.3,170200,7761,106513,52039,3887,unknown,0.2172,0.1298,0.6663
data/deid_t2_mr-m3-r11.txt,0.3,170200,7866,106048,52504,3782,unknown,0.2184,0.1303,0.6753
data/deid_t2_mr-m3-r12.txt,0.3,170200,7959,105563,52989,3689,unknown,0.2193,0.1306,0.6833
data/deid_t2_mr-m3-r13.txt,0.3,170200,7964,105109,53443,3684,unknown,0.2180,0.1297,0.6837
data/deid_t2_mr-m3-r14.txt,0.3,170200,8004,104573,53979,3644,unknown,0.2174,0.1291,0.6872
data/deid_t2_mr-m3-r15.txt,0.3,170200,8112,104103,54449,3536,unknown,0.2186,0.1297,0.6964
data/deid_t2_mr-m3-r16.txt,0.3,170200,8174,103574,54978,3474,unknown,0.2186,0.1294,0.7018
data/deid_t2_mr-m3-r17.txt,0.3,170200,8254,103263,55289,3394,unknown,0.2195,0.1299,0.7086
data/deid_t2_mr-m3-r18.txt,0.3,170200,8310,102587,55965,3338,unknown,0.2189,0.1293,0.7134
data/deid_t2_mr-m4-r10.txt,0.3,170200,8379,105590,52962,3269,unknown,0.2296,0.1366,0.7194
data/deid_t2_mr-m4-r11.txt,0.3,170200,8462,105058,53494,3186,unknown,0.2299,0.1366,0.7265
data/deid_t2_mr-m4-r12.txt,0.3,170200,8514,104509,54043,3134,unknown,0.2295,0.1361,0.7309
data/deid_t2_mr-m4-r13.txt,0.3,170200,8536,103981,54571,3112,unknown,0.2284,0.1353,0.7328
data/deid_t2_mr-m4-r14.txt,0.3,170200,8523,103400,55152,3125,unknown,0.2263,0.1339,0.7317
data/deid_t2_mr-m4-r15.txt,0.3,170200,8639,102888,55664,3009,unknown,0.2275,0.1343,0.7417
data/deid_t2_mr-m4-r16.txt,0.3,170200,8674,102286,56266,2974,unknown,0.2265,0.1336,0.7447
data/deid_t2_mr-m4-r17.txt,0.3,170200,8717,101920,56632,2931,unknown,0.2264,0.1334,0.7484
data/deid_t2_mr-m4-r18.txt,0.3,170200,8775,101170,57382,2873,unknown,0.2256,0.1326,0.7533
data/deid_t2_mr-m5-r10.txt,0.3,170200,9065,103055,55497,2583,unknown,0.2379,0.1404,0.7782
data/deid_t2_mr-m5-r11.txt,0.3,170200,9173,102373,56179,2475,unknown,0.2383,0.1404,0.7875
data/deid_t2_mr-m5-r12.txt,0.3,170200,9260,101656,56896,2388,unknown,0.2380,0.1400,0.7950
data/deid_t2_mr-m5-r13.txt,0.3,170200,9316,100887,57665,2332,unknown,0.2370,0.1391,0.7998
data/deid_t2_mr-m5-r14.txt,0.3,170200,9308,100122,58430,2340,unknown,0.2345,0.1374,0.7991
data/deid_t2_mr-m5-r15.txt,0.3,170200,9419,99510,59042,2229,unknown,0.2352,0.1376,0.8086
data/deid_t2_mr-m5-r16.txt,0.3,170200,9479,98757,59795,2169,unknown,0.2343,0.1368,0.8138
data/deid_t2_mr-m5-r17.txt,0.3,170200,9568,98211,60341,2080,unknown,0.2346,0.1369,0.8214
data/deid_t2_mr-m5-r18.txt,0.3,170200,9589,97304,61248,2059,unknown,0.2325,0.1354,0.8232
data/deid_t2_mr-m6-r10.txt,0.3,170200,9857,99362,59190,1791,unknown,0.2443,0.1428,0.8462
data/deid_t2_mr-m6-r11.txt,0.3,170200,9994,98613,59939,1654,unknown,0.2450,0.1429,0.8580
data/deid_t2_mr-m6-r12.txt,0.3,170200,10102,97711,60841,1546,unknown,0.2446,0.1424,0.8673
data/deid_t2_mr-m6-r13.txt,0.3,170200,10148,96834,61718,1500,unknown,0.2430,0.1412,0.8712
data/deid_t2_mr-m6-r14.txt,0.3,170200,10189,95918,62634,1459,unknown,0.2412,0.1399,0.8747
data/deid_t2_mr-m6-r15.txt,0.3,170200,10283,95182,63370,1365,unknown,0.2411,0.1396,0.8828
data/deid_t2_mr-m6-r16.txt,0.3,170200,10330,94426,64126,1318,unknown,0.2399,0.1387,0.8868
data/deid_t2_mr-m6-r17.txt,0.3,170200,10413,93779,64773,1235,unknown,0.2398,0.1385,0.8940
data/deid_t2_mr-m6-r18.txt,0.3,170200,10446,92694,65858,1202,unknown,0.2375,0.1369,0.8968
data/deid_t2_mr-m7-r10.txt,0.3,170200,10287,95121,63431,1361,unknown,0.2410,0.1395,0.8832
data/deid_t2_mr-m7-r11.txt,0.3,170200,10381,94221,64331,1267,unknown,0.2404,0.1389,0.8912
data/deid_t2_mr-m7-r12.txt,0.3,170200,10469,93238,65314,1179,unknown,0.2395,0.1381,0.8988
data/deid_t2_mr-m7-r13.txt,0.3,170200,10517,92222,66330,1131,unknown,0.2377,0.1369,0.9029
data/deid_t2_mr-m7-r14.txt,0.3,170200,10535,91261,67291,1113,unknown,0.2355,0.1354,0.9044
data/deid_t2_mr-m7-r15.txt,0.3,170200,10624,90401,68151,1024,unknown,0.2350,0.1349,0.9121
data/deid_t2_mr-m7-r16.txt,0.3,170200,10625,89495,69057,1023,unknown,0.2327,0.1333,0.9122
data/deid_t2_mr-m7-r17.txt,0.3,170200,10684,88796,69756,964,unknown,0.2320,0.1328,0.9172
data/deid_t2_mr-m7-r18.txt,0.3,170200,10680,87717,70835,968,unknown,0.2293,0.1310,0.9169
data/deid_t2_mr-m8-r10.txt,0.3,170200,10539,90650,67902,1109,unknown,0.2340,0.1344,0.9048
data/deid_t2_mr-m8-r11.txt,0.3,170200,10633,89598,68954,1015,unknown,0.2331,0.1336,0.9129
