# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t1_mr-m1-r2.txt,0.2,227936,6124,144815,72772,4225,unknown,0.1372,0.0776,0.5917
data/deid_t1_mr-m1-r3.txt,0.2,227936,6655,139796,77791,3694,unknown,0.1404,0.0788,0.6431
data/deid_t1_mr-m1-r4.txt,0.2,227936,6961,137058,80529,3388,unknown,0.1423,0.0796,0.6726
data/deid_t1_mr-m1-r5.txt,0.2,227936,7225,135132,82455,3124,unknown,0.1445,0.0806,0.6981
data/deid_t1_mr-m1-r6.txt,0.2,227936,7379,133324,84263,2970,unknown,0.1447,0.0805,0.7130
data/deid_t1_mr-m1-r7.txt,0.2,227936,7496,132034,85553,2853,unknown,0.1450,0.0806,0.7243
data/deid_t1_mr-m1-r8.txt,0.2,227936,7669,130542,87045,2680,unknown,0.1460,0.0810,0.7410
data/deid_t1_mr-m1-r9.txt,0.2,227936,7831,129463,88124,2518,unknown,0.1473,0.0816,0.7567
data/deid_t1_mr-m2-r2.txt,0.2,227936,6124,144815,72772,4225,unknown,0.1372,0.0776,0.5917
data/deid_t1_mr-m2-r3.txt,0.2,227936,6655,139795,77792,3694,unknown,0.1404,0.0788,0.6431
data/deid_t1_mr-m2-r4.txt,0.2,227936,6961,137057,80530,3388,unknown,0.1423,0.0796,0.6726
data/deid_t1_mr-m2-r5.txt,0.2,227936,7225,135132,82455,3124,unknown,0.1445,0.0806,0.6981
data/deid_t1_mr-m2-r6.txt,0.2,227936,7379,133324,84263,2970,unknown,0.1447,0.0805,0.7130
data/deid_t1_mr-m2-r7.txt,0.2,227936,7496,132033,85554,2853,unknown,0.1450,0.0806,0.7243
data/deid_t1_mr-m2-r8.txt,0.2,227936,7669,130541,87046,2680,unknown,0.1460,0.0810,0.7410
data/deid_t1_mr-m2-r9.txt,0.2,227936,7831,129463,88124,2518,unknown,0.1473,0.0816,0.7567
data/deid_t1_mr-m3-r2.txt,0.2,227936,6125,144814,72773,4224,unknown,0.1373,0.0776,0.5918
data/deid_t1_mr-m3-r3.txt,0.2,227936,6656,139794,77793,3693,unknown,0.1404,0.0788,0.6432
data/deid_t1_mr-m3-r4.txt,0.2,227936,6962,137054,80533,3387,unknown,0.1423,0.0796,0.6727
data/deid_t1_mr-m3-r5.txt,0.2,227936,7225,135126,82461,3124,unknown,0.1444,0.0806,0.6981
data/deid_t1_mr-m3-r6.txt,0.2,227936,7382,133311,84276,2967,unknown,0.1447,0.0805,0.7133
data/deid_t1_mr-m3-r7.txt,0.2,227936,7497,132022,85565,2852,unknown,0.1450,0.0806,0.7244
data/deid_t1_mr-m3-r8.txt,0.2,227936,7669,130521,87066,2680,unknown,0.1460,0.0810,0.7410
data/deid_t1_mr-m3-r9.txt,0.2,227936,7831,129444,88143,2518,unknown,0.1473,0.0816,0.7567
data/deid_t1_mr-m4-r2.txt,0.2,227936,6152,144766,72821,4197,unknown,0.1377,0.0779,0.5945
data/deid_t1_mr-m4-r3.txt,0.2,227936,6714,139697,77890,3635,unknown,0.1414,0.0794,0.6488
data/deid_t1_mr-m4-r4.txt,0.2,227936,7038,136921,80666,3311,unknown,0.1436,0.0802,0.6801
data/deid_t1_mr-m4-r5.txt,0.2,227936,7290,134949,82638,3059,unknown,0.1454,0.0811,0.7044
data/deid_t1_mr-m4-r6.txt,0.2,227936,7465,133104,84483,2884,unknown,0.1459,0.0812,0.7213
data/deid_t1_mr-m4-r7.txt,0.2,227936,7582,131733,85854,2767,unknown,0.1461,0.0811,0.7326
data/deid_t1_mr-m4-r8.txt,0.2,227936,7751,130210,87377,2598,unknown,0.1470,0.0815,0.7490
data/deid_t1_mr-m4-r9.txt,0.2,227936,7912,129076,88511,2437,unknown,0.1482,0.0821,0.7645
data/deid_t1_mr-m5-r2.txt,0.2,227936,6244,144541,73046,4105,unknown,0.1393,0.0787,0.6033
data/deid_t1_mr-m5-r3.txt,0.2,227936,6831,139217,78370,3518,unknown,0.1430,0.0802,0.6601
data/deid_t1_mr-m5-r4.txt,0.2,227936,7188,136232,81355,3161,unknown,0.1454,0.0812,0.6946
data/deid_t1_mr-m5-r5.txt,0.2,227936,7478,134097,83490,2871,unknown,0.1476,0.0822,0.7226
data/deid_t1_mr-m5-r6.txt,0.2,227936,7678,132089,85498,2671,unknown,0.1483,0.0824,0.7419
data/deid_t1_mr-m5-r7.txt,0.2,227936,7803,130627,86960,2546,unknown,0.1485,0.0823,0.7540
data/deid_t1_mr-m5-r8.txt,0.2,227936,8010,128931,88656,2339,unknown,0.1497,0.0829,0.7740
data/deid_t1_mr-m5-r9.txt,0.2,227936,8174,127721,89866,2175,unknown,0.1508,0.0834,0.7898
data/deid_t1_mr-m6-r2.txt,0.2,227936,6391,143847,73740,3958,unknown,0.1413,0.0798,0.6175
data/deid_t1_mr-m6-r3.txt,0.2,227936,7044,138052,79535,3305,unknown,0.1453,0.0814,0.6806
data/deid_t1_mr-m6-r4.txt,0.2,227936,7450,134656,82931,2899,unknown,0.1479,0.0824,0.7199
data/deid_t1_mr-m6-r5.txt,0.2,227936,7746,132190,85397,2603,unknown,0.1497,0.0832,0.7485
data/deid_t1_mr-m6-r6.txt,0.2,227936,7939,129882,87705,2410,unknown,0.1498,0.0830,0.7671
data/deid_t1_mr-m6-r7.txt,0.2,227936,8097,128140,89447,2252,unknown,0.1501,0.0830,0.7824
data/deid_t1_mr-m6-r8.txt,0.2,227936,8289,126189,91398,2060,unknown,0.1507,0.0832,0.8009
data/deid_t1_mr-m6-r9.txt,0.2,227936,8471,124811,92776,1878,unknown,0.1518,0.0837,0.8185
data/deid_t1_mr-m7-r2.txt,0.2,227936,6535,142643,74944,3814,unknown,0.1423,0.0802,0.6315
data/deid_t1_mr-m7-r3.txt,0.2,227936,7224,136026,81561,3125,unknown,0.1457,0.0814,0.6980
data/deid_t1_mr-m7-r4.txt,0.2,227936,7612,132093,85494,2737,unknown,0.1472,0.0818,0.7355
data/deid_t1_mr-m7-r5.txt,0.2,227936,7890,129192,88395,2459,unknown,0.1480,0.0819,0.7624
data/deid_t1_mr-m7-r6.txt,0.2,227936,8084,126450,91137,2265,unknown,0.1476,0.0815,0.7811
data/deid_t1_mr-m7-r7.txt,0.2,227936,8216,124323,93264,2133,unknown,0.1469,0.0810,0.7939
