# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t2_mr-m1-r2.txt,0.1,170200,7740,112234,46318,3908,unknown,0.2356,0.1432,0.6645
data/deid_t2_mr-m1-r3.txt,0.1,170200,8319,109044,49508,3329,unknown,0.2395,0.1439,0.7142
data/deid_t2_mr-m1-r4.txt,0.1,170200,8689,106828,51724,2959,unknown,0.2412,0.1438,0.7460
data/deid_t2_mr-m1-r5.txt,0.1,170200,8889,105297,53255,2759,unknown,0.2409,0.1430,0.7631
data/deid_t2_mr-m1-r6.txt,0.1,170200,8995,103719,54833,2653,unknown,0.2384,0.1409,0.7722
data/deid_t2_mr-m1-r7.txt,0.1,170200,9148,102272,56280,2500,unknown,0.2374,0.1398,0.7854
data/deid_t2_mr-m1-r8.txt,0.1,170200,9240,101206,57346,2408,unknown,0.2362,0.1388,0.7933
data/deid_t2_mr-m1-r9.txt,0.1,170200,9363,100078,58474,2285,unknown,0.2356,0.1380,0.8038
data/deid_t2_mr-m2-r2.txt,0.1,170200,7740,112234,46318,3908,unknown,0.2356,0.1432,0.6645
data/deid_t2_mr-m2-r3.txt,0.1,170200,8319,109044,49508,3329,unknown,0.2395,0.1439,0.7142
data/deid_t2_mr-m2-r4.txt,0.1,170200,8689,106828,51724,2959,unknown,0.2412,0.1438,0.7460
data/deid_t2_mr-m2-r5.txt,0.1,170200,8889,105297,53255,2759,unknown,0.2409,0.1430,0.7631
data/deid_t2_mr-m2-r6.txt,0.1,170200,8995,103719,54833,2653,unknown,0.2384,0.1409,0.7722
data/deid_t2_mr-m2-r7.txt,0.1,170200,9148,102272,56280,2500,unknown,0.2374,0.1398,0.7854
data/deid_t2_mr-m2-r8.txt,0.1,170200,9240,101206,57346,2408,unknown,0.2362,0.1388,0.7933
data/deid_t2_mr-m2-r9.txt,0.1,170200,9363,100078,58474,2285,unknown,0.2356,0.1380,0.8038
data/deid_t2_mr-m3-r2.txt,0.1,170200,7740,112234,46318,3908,unknown,0.2356,0.1432,0.6645
data/deid_t2_mr-m3-r3.txt,0.1,170200,8319,109044,49508,3329,unknown,0.2395,0.1439,0.7142
data/deid_t2_mr-m3-r4.txt,0.1,170200,8689,106827,51725,2959,unknown,0.2412,0.1438,0.7460
