# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t1_mr-w-r1.txt,0.3,227936,1559,150661,66926,8790,unknown,0.0396,0.0228,0.1506
data/deid_t1_mr-w-r2.txt,0.3,227936,4421,144755,72832,5928,unknown,0.1009,0.0572,0.4272
data/deid_t1_mr-w-r3.txt,0.3,227936,5527,141005,76582,4822,unknown,0.1196,0.0673,0.5341
data/deid_t1_mr-w-r4.txt,0.3,227936,6253,138047,79540,4096,unknown,0.1301,0.0729,0.6042
data/deid_t1_mr-w-r5.txt,0.3,227936,6839,135453,82134,3510,unknown,0.1377,0.0769,0.6608
data/deid_t1_mr-w-r6.txt,0.3,227936,7241,133245,84342,3108,unknown,0.1421,0.0791,0.6997
data/deid_t1_mr-w-r7.txt,0.3,227936,7548,131278,86309,2801,unknown,0.1449,0.0804,0.7293
data/deid_t1_mr-w-r8.txt,0.3,227936,7886,129362,88225,2463,unknown,0.1481,0.0821,0.7620
data/deid_t1_mr-w-r9.txt,0.3,227936,8081,127541,90046,2268,unknown,0.1490,0.0824,0.7808
data/deid_t1_mr-w-r10.txt,0.3,227936,8236,126040,91547,2113,unknown,0.1496,0.0825,0.7958
data/deid_t1_mr-w-r11.txt,0.3,227936,8314,124458,93129,2035,unknown,0.1487,0.0820,0.8034
data/deid_t1_mr-w-r12.txt,0.3,227936,8383,123086,94501,1966,unknown,0.1481,0.0815,0.8100
data/deid_t1_mr-w-r13.txt,0.3,227936,8411,121818,95769,1938,unknown,0.1469,0.0807,0.8127
data/deid_t1_mr-w-r14.txt,0.3,227936,8450,120479,97108,1899,unknown,0.1458,0.0801,0.8165
data/deid_t1_mr-w-r15.txt,0.3,227936,8478,119597,97990,1871,unknown,0.1452,0.0796,0.8192
