# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t1_mr-m1-r2.txt,0.1,227936,6242,142899,74688,4107,unknown,0.1368,0.0771,0.6032
data/deid_t1_mr-m1-r3.txt,0.1,227936,6789,137311,80276,3560,unknown,0.1394,0.0780,0.6560
data/deid_t1_mr-m1-r4.txt,0.1,227936,7113,134246,83341,3236,unknown,0.1411,0.0786,0.6873
data/deid_t1_mr-m1-r5.txt,0.1,227936,7352,132038,85549,2997,unknown,0.1424,0.0791,0.7104
data/deid_t1_mr-m1-r6.txt,0.1,227936,7514,130033,87554,2835,unknown,0.1426,0.0790,0.7261
data/deid_t1_mr-m1-r7.txt,0.1,227936,7616,128535,89052,2733,unknown,0.1423,0.0788,0.7359
data/deid_t1_mr-m1-r8.txt,0.1,227936,7781,126861,90726,2568,unknown,0.1430,0.0790,0.7519
data/deid_t1_mr-m1-r9.txt,0.1,227936,7941,125647,91940,2408,unknown,0.1441,0.0795,0.7673
data/deid_t1_mr-m2-r2.txt,0.1,227936,6242,142899,74688,4107,unknown,0.1368,0.0771,0.6032
data/deid_t1_mr-m2-r3.txt,0.1,227936,6789,137310,80277,3560,unknown,0.1394,0.0780,0.6560
data/deid_t1_mr-m2-r4.txt,0.1,227936,7113,134245,83342,3236,unknown,0.1411,0.0786,0.6873
data/deid_t1_mr-m2-r5.txt,0.1,227936,7352,132038,85549,2997,unknown,0.1424,0.0791,0.7104
data/deid_t1_mr-m2-r6.txt,0.1,227936,7514,130033,87554,2835,unknown,0.1426,0.0790,0.7261
data/deid_t1_mr-m2-r7.txt,0.1,227936,7616,128535,89052,2733,unknown,0.1423,0.0788,0.7359
data/deid_t1_mr-m2-r8.txt,0.1,227936,7781,126861,90726,2568,unknown,0.1430,0.0790,0.7519
data/deid_t1_mr-m2-r9.txt,0.1,227936,7941,125647,91940,2408,unknown,0.1441,0.0795,0.7673
data/deid_t1_mr-m3-r2.txt,0.1,227936,6243,142898,74689,4106,unknown,0.1368,0.0771,0.6032
data/deid_t1_mr-m3-r3.txt,0.1,227936,6790,137309,80278,3559,unknown,0.1394,0.0780,0.6561
data/deid_t1_mr-m3-r4.txt,0.1,227936,7114,134243,83344,3235,unknown,0.1411,0.0786,0.6874
data/deid_t1_mr-m3-r5.txt,0.1,227936,7352,132035,85552,2997,unknown,0.1424,0.0791,0.7104
data/deid_t1_mr-m3-r6.txt,0.1,227936,7516,130028,87559,2833,unknown,0.1426,0.0791,0.7263
data/deid_t1_mr-m3-r7.txt,0.1,227936,7616,128529,89058,2733,unknown,0.1423,0.0788,0.7359
data/deid_t1_mr-m3-r8.txt,0.1,227936,7781,126850,90737,2568,unknown,0.1429,0.0790,0.7519
data/deid_t1_mr-m3-r9.txt,0.1,227936,7941,125635,91952,2408,unknown,0.1441,0.0795,0.7673
data/deid_t1_mr-m4-r2.txt,0.1,227936,6259,142867,74720,4090,unknown,0.1371,0.0773,0.6048
data/deid_t1_mr-m4-r3.txt,0.1,227936,6809,137237,80350,3540,unknown,0.1397,0.0781,0.6579
data/deid_t1_mr-m4-r4.txt,0.1,227936,7137,134150,83437,3212,unknown,0.1414,0.0788,0.6896
data/deid_t1_mr-m4-r5.txt,0.1,227936,7369,131918,85669,2980,unknown,0.1426,0.0792,0.7120
data/deid_t1_mr-m4-r6.txt,0.1,227936,7546,129900,87687,2803,unknown,0.1429,0.0792,0.7292
data/deid_t1_mr-m4-r7.txt,0.1,227936,7651,128346,89241,2698,unknown,0.1427,0.0790,0.7393
data/deid_t1_mr-m4-r8.txt,0.1,227936,7819,126651,90936,2530,unknown,0.1433,0.0792,0.7555
data/deid_t1_mr-m4-r9.txt,0.1,227936,7977,125398,92189,2372,unknown,0.1444,0.0796,0.7708
data/deid_t1_mr-m5-r2.txt,0.1,227936,6302,142683,74904,4047,unknown,0.1377,0.0776,0.6089
data/deid_t1_mr-m5-r3.txt,0.1,227936,6887,136844,80743,3462,unknown,0.1406,0.0786,0.6655
data/deid_t1_mr-m5-r4.txt,0.1,227936,7246,133582,84005,3103,unknown,0.1426,0.0794,0.7002
data/deid_t1_mr-m5-r5.txt,0.1,227936,7526,131220,86367,2823,unknown,0.1444,0.0802,0.7272
data/deid_t1_mr-m5-r6.txt,0.1,227936,7732,129053,88534,2617,unknown,0.1450,0.0803,0.7471
