# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t1_mr-m1-r2.txt,0.3,227936,5258,147451,70136,5091,unknown,0.1226,0.0697,0.5081
data/deid_t1_mr-m1-r3.txt,0.3,227936,5683,143273,74314,4666,unknown,0.1258,0.0710,0.5491
data/deid_t1_mr-m1-r4.txt,0.3,227936,5939,141137,76450,4410,unknown,0.1281,0.0721,0.5739
data/deid_t1_mr-m1-r5.txt,0.3,227936,6121,139548,78039,4228,unknown,0.1295,0.0727,0.5915
data/deid_t1_mr-m1-r6.txt,0.3,227936,6195,138106,79481,4154,unknown,0.1290,0.0723,0.5986
data/deid_t1_mr-m1-r7.txt,0.3,227936,6314,137033,80554,4035,unknown,0.1299,0.0727,0.6101
data/deid_t1_mr-m1-r8.txt,0.3,227936,6425,135800,81787,3924,unknown,0.1304,0.0728,0.6208
data/deid_t1_mr-m1-r9.txt,0.3,227936,6532,134958,82629,3817,unknown,0.1313,0.0733,0.6312
data/deid_t1_mr-m2-r2.txt,0.3,227936,5258,147451,70136,5091,unknown,0.1226,0.0697,0.5081
data/deid_t1_mr-m2-r3.txt,0.3,227936,5683,143272,74315,4666,unknown,0.1258,0.0710,0.5491
data/deid_t1_mr-m2-r4.txt,0.3,227936,5939,141136,76451,4410,unknown,0.1281,0.0721,0.5739
data/deid_t1_mr-m2-r5.txt,0.3,227936,6121,139548,78039,4228,unknown,0.1295,0.0727,0.5915
data/deid_t1_mr-m2-r6.txt,0.3,227936,6195,138105,79482,4154,unknown,0.1290,0.0723,0.5986
data/deid_t1_mr-m2-r7.txt,0.3,227936,6314,137032,80555,4035,unknown,0.1299,0.0727,0.6101
data/deid_t1_mr-m2-r8.txt,0.3,227936,6425,135800,81787,3924,unknown,0.1304,0.0728,0.6208
data/deid_t1_mr-m2-r9.txt,0.3,227936,6532,134956,82631,3817,unknown,0.1313,0.0733,0.6312
data/deid_t1_mr-m3-r2.txt,0.3,227936,5267,147441,70146,5082,unknown,0.1228,0.0698,0.5089
data/deid_t1_mr-m3-r3.txt,0.3,227936,5703,143256,74331,4646,unknown,0.1262,0.0713,0.5511
data/deid_t1_mr-m3-r4.txt,0.3,227936,5966,141115,76472,4383,unknown,0.1286,0.0724,0.5765
data/deid_t1_mr-m3-r5.txt,0.3,227936,6156,139512,78075,4193,unknown,0.1302,0.0731,0.5948
data/deid_t1_mr-m3-r6.txt,0.3,227936,6244,138054,79533,4105,unknown,0.1299,0.0728,0.6033
data/deid_t1_mr-m3-r7.txt,0.3,227936,6364,136973,80614,3985,unknown,0.1308,0.0732,0.6149
data/deid_t1_mr-m3-r8.txt,0.3,227936,6485,135720,81867,3864,unknown,0.1314,0.0734,0.6266
